,S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount,
,1,2022032801007648,MEGA,45,55,14,252.5,3535.00,
,2,2022032803014598,NTC,58,55,20,1135.2,22704.00,
,3,2022032804013397,TRH,57,55,25,357,8925.00,
,4,2022032804013396,TRH,57,43,10,351,3510.00,
,5,2022032804013395,TRH,57,51,11,350,3850.00,
,6,2022032804013394,TRH,57,6,30,350,10500.00,
,7,2022032801007647,NICA,20,1,10,759.9,7599.00,
,8,2022032804013393,STC,7,58,10,5152,51520.00,
,9,2022032803014597,LBBL,16,45,178,452.9,80616.20,
,10,2022032803014596,LBBL,34,45,1500,453,679500.00,
,11,2022032803014595,LBBL,47,45,10,453,4530.00,
,12,2022032803014594,LBBL,42,45,50,453,22650.00,
,13,2022032803014593,LBBL,49,45,250,453,113250.00,
,14,2022032803014592,LBBL,1,45,12,453,5436.00,
,15,2022032803014591,NIFRA,49,49,30,326.1,9783.00,
,16,2022032803014590,PLIC,16,49,95,737,70015.00,
,17,2022032803014589,PLIC,41,49,51,737,37587.00,
,18,2022032803014588,PLIC,56,49,10,738,7380.00,
,19,2022032803014587,PLIC,26,49,22,738,16236.00,
,20,2022032803014586,PLIC,13,49,57,740,42180.00,
,Page 1/2136 12345678910Next›Last»,
,Total Amount Rs.,"2,545,321,814",
,Total Quantity,"4,958,914",
