#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"81,565,957",,"1,002,259 ",,"63,824,394",,"16,739,304","2,663","243,956","2,998","976,855,043","2,921,675","334,347,663 ",North America,43340,,,"50,066"
2,India,"43,016,372",,"516,785 ",,"42,478,087",,"21,500","8,944","30,652",368,"785,644,225","559,821","1,403,383,978 ",Asia,"332,7162",,,15
3,Brazil,"29,767,681",,"658,367 ",,"28,407,457",,"701,857","8,318","138,349","3,060","63,776,166","296,408","215,163,281 ",South America,73273,,,"3,262"
4,France,"24,636,311",,"141,443 ",,"22,816,877",,"1,677,991","1,564","375,998","2,159","254,106,036","3,878,153","65,522,434 ",Europe,34630,,,"25,609"
5,UK,"20,613,817",,"164,282 ",,"18,758,225",,"1,691,310",302,"300,929","2,398","499,886,168","7,297,547","68,500,576 ",Europe,34170,,,"24,690"
6,Germany,"19,741,719",,"128,457 ",,"15,518,700","+189,700","4,094,562","2,494","234,335","1,525","104,701,826","1,242,816","84,245,647 ",Europe,46561,,,"48,603"
7,Russia,"17,715,390","+25,382","366,618 ",+398,"16,545,758","+61,860","803,014","2,300","121,303","2,510","273,400,000","1,872,060","146,042,306 ",Europe,83981,174,3,"5,499"
8,Turkey,"14,760,331",,"97,598 ",,"14,404,817",,"257,916",975,"171,826","1,136","151,858,785","1,767,797","85,902,862 ",Asia,68801,,,"3,002"
9,Italy,"14,153,098",,"158,436 ",,"12,748,859",,"1,245,803",447,"234,678","2,627","197,631,659","3,277,006","60,308,605 ",Europe,43810,,,"20,657"
10,Spain,"11,378,784",,"102,053 ",,"10,707,169",,"569,562",682,"243,209","2,181","471,036,328","10,067,893","46,785,988 ",Europe,44580,,,"12,174"
11,S. Korea,"11,162,232","+339,396","14,294 ",+392,N/A,N/A,N/A,"1,085","217,396",278,"15,804,065","307,800","51,345,227 ",Asia,"53,5923","6,610",8,"198,235"
12,Argentina,"9,021,240",,"127,780 ",,"8,827,814",,"65,646",664,"196,496","2,783","35,209,764","766,923","45,910,441 ",South America,53591,,,"1,430"
13,Vietnam,"8,599,751",,"42,145 ",,"4,826,024",,"3,731,582","3,650","87,000",426,"83,048,614","840,166","98,847,807 ",Asia,"112,3451",,,"37,751"
14,Netherlands,"7,665,726",,"21,851 ",,"6,131,356",,"1,512,519",151,"445,676","1,270","21,107,399","1,227,159","17,200,213 ",Europe,27871,,,"87,936"
15,Iran,"7,145,877",,"139,865 ",,"6,842,103",,"163,909","1,753","83,241","1,629","48,991,010","570,690","85,845,294 ",Asia,126142,,,"1,909"
16,Japan,"6,238,879","+49,063","27,485 ",+129,"5,770,149","+42,125","441,245",733,"49,590",218,"42,521,015","337,980","125,809,201 ",Asia,"204,5773",390,1,"3,507"
17,Colombia,"6,082,577",,"139,531 ",,"5,915,073",,"27,973",342,"117,385","2,693","33,766,171","651,637","51,817,422 ",South America,93712,,,540
18,Indonesia,"5,986,830",,"154,343 ",,"5,676,510",,"155,977","2,771","21,496",554,"91,035,716","326,870","278,507,531 ",Asia,"471,8043",,,560
19,Poland,"5,933,107","+8,241","114,736 ",+110,"5,277,322","+7,325","541,049",358,"157,064","3,037","35,344,642","935,658","37,775,174 ",Europe,63291,218,3,"14,323"
20,Mexico,"5,643,963","+3,658","322,432 ",+155,"4,941,341","+3,699","380,190","4,798","42,996","2,456","15,490,465","118,007","131,266,967 ",North America,234078,28,1,"2,896"
21,Ukraine,"4,949,283",,"107,779 ",,N/A,N/A,N/A,177,"114,352","2,490","19,521,252","451,035","43,280,972 ",Europe,94022,,,"18,102"
22,Australia,"4,180,377","+58,235","5,850 ",+26,"3,691,688",,"482,839",96,"160,724",225,"65,815,062","2,530,406","26,009,686 ",Australia/Oceania,"64,4460","2,239",1.0,"18,564"
23,Malaysia,"4,079,242",,"34,664 ",,"3,796,975",,"247,603",321,"123,313","1,048","54,258,550","1,640,197","33,080,501 ",Asia,89541,,,"7,485"
24,Israel,"3,818,065",,"10,455 ",,"3,734,564",,"73,046",301,"409,400","1,121","41,373,364","4,436,346","9,326,000 ",Asia,28920,,,"7,833"
25,Czechia,"3,776,874","+7,174","39,495 ",+12,"3,662,938","+13,129","74,441",103,"351,559","3,676","54,521,816","5,074,997","10,743,221 ",Europe,32720,668,1,"6,929"
26,Belgium,"3,771,233","+13,457","30,662 ",+27,"3,489,933","+8,326","250,638",172,"322,975","2,626","32,594,459","2,791,446","11,676,549 ",Europe,33810,"1,152",2,"21,465"
27,South Africa,"3,709,209",,"99,932 ",,"3,595,512",,"13,765",546,"61,211","1,649","23,676,087","390,713","60,597,103 ",Africa,166063,,,227
28,Philippines,"3,675,821",,"58,771 ",,"3,572,477",,"44,573",289,"32,792",524,"28,781,758","256,764","112,094,015 ",Asia,"301,9074",,,398
29,Austria,"3,627,093",,"15,579 ",,"3,168,886",,"442,628",233,"398,803","1,713","172,558,127","18,972,942","9,094,959 ",Europe,35840,,,"48,667"
30,Peru,"3,543,790",,"212,022 ",,N/A,N/A,N/A,527,"104,960","6,280","28,399,228","841,130","33,763,193 ",South America,101591,,,"47,718"
31,Thailand,"3,477,030","+26,050","24,651 ",+69,"3,208,271","+22,219","244,108","1,496","49,600",352,"17,270,775","246,367","70,101,829 ",Asia,"202,8444",372,1.0,"3,482"
32,Portugal,"3,458,727",,"21,408 ",,N/A,N/A,N/A,66,"340,913","2,110","39,624,193","3,905,604","10,145,471 ",Europe,34740,,,"55,310"
33,Canada,"3,429,843",,"37,360 ",,"3,260,385",,"132,098",409,"89,523",975,"59,142,418","1,543,689","38,312,403 ",North America,"111,0251",,,"3,448"
34,Chile,"3,426,147",,"56,147 ",,"2,839,784",,"530,216",735,"176,615","2,894","34,996,788","1,804,054","19,398,973 ",South America,63461,,,"27,332"
35,Switzerland,"3,386,428",,"13,635 ",,"2,693,876",,"678,917",162,"386,416","1,556","20,493,186","2,338,419","8,763,693 ",Europe,36430,,,"77,469"
36,Greece,"2,884,100",,"27,125 ",,"2,596,545",,"260,430",344,"279,053","2,624","72,252,783","6,990,865","10,335,314 ",Europe,43810,,,"25,198"
37,Denmark,"2,883,937",,"5,518 ",,"2,777,866",,"100,553",20,"494,896",947,"126,636,126","21,731,322","5,827,355 ",Europe,"21,0560",,,"17,255"
38,Romania,"2,832,024",,"64,826 ",,"2,606,660",,"160,538",428,"148,924","3,409","21,892,597","1,151,240","19,016,536 ",Europe,72931,,,"8,442"
39,Sweden,"2,481,736",,"18,155 ",,"2,416,719",,"46,862",32,"243,122","1,779","18,382,831","1,800,863","10,207,790 ",Europe,45621,,,"4,591"
40,Iraq,"2,317,128",,"25,138 ",,"2,277,125",,"14,865",68,"55,464",602,"18,267,885","437,272","41,776,904 ",Asia,"181,6622",,,356
41,Serbia,"1,964,129",,"15,727 ",,"1,909,900",,"38,502",39,"226,368","1,813","9,093,179","1,047,997","8,676,719 ",Europe,45521,,,"4,437"
42,Bangladesh,"1,951,072",,"29,118 ",,"1,874,880",,"47,074","1,264","11,647",174,"13,762,715","82,157","167,516,707 ",Asia,"865,75312",,,281
43,Hungary,"1,839,358","+2,439","45,258 ",+38,"1,693,393","+3,933","100,707",70,"191,240","4,706","11,053,112","1,149,202","9,618,077 ",Europe,52131,254,4,"10,471"
44,Jordan,"1,689,314",,"14,003 ",,"1,668,852",,"6,459",276,"162,783","1,349","16,575,546","1,597,231","10,377,676 ",Asia,67411,,,622
45,Slovakia,"1,674,586","+8,104","19,229 ",+20,"1,537,224","+9,899","118,133",186,"306,465","3,519","6,798,172","1,244,129","5,464,200 ",Europe,32841,"1,483",4,"21,619"
46,Georgia,"1,645,301",+590,"16,698 ",+10,"1,611,688","+3,247","16,915",,"413,811","4,200","16,283,777","4,095,548","3,975,970 ",Asia,22380,148,3,"4,254"
47,Pakistan,"1,523,401",+329,"30,336 ",+3,"1,484,718",+42,"8,347",446,"6,673",133,"27,297,869","119,581","228,280,137 ",Asia,"1507,5258",1,0.01,37
48,Ireland,"1,413,798",,"6,693 ",,"1,273,365",,"133,740",53,"280,915","1,330","11,692,937","2,323,334","5,032,827 ",Europe,47520,,,"26,574"
49,Norway,"1,393,061",,"2,339 ",,N/A,N/A,N/A,20,"253,547",426,"9,852,076","1,793,148","5,494,292 ",Europe,"42,3491",,,"236,931"
50,Kazakhstan,"1,304,983",+22,"13,657 ",+1,"1,285,974",+645,"5,352",528,"68,097",713,"11,575,012","604,007","19,163,698 ",Asia,"151,4032",1,0.05,279
51,Morocco,"1,162,764",,"16,056 ",,"1,146,137",,571,293,"30,872",426,"11,237,010","298,346","37,664,392 ",Africa,"322,3463",,,15
52,Bulgaria,"1,131,065",,"36,396 ",,"904,636",,"190,033",241,"164,919","5,307","9,524,020","1,388,684","6,858,307 ",Europe,61881,,,"27,708"
53,Hong Kong,"1,101,224",,"6,770 ",,N/A,N/A,N/A,115,"144,864",891,"36,260,319","4,769,968","7,601,795 ",Asia,"71,1230",,,"142,232"
54,Lebanon,"1,089,830",,"10,267 ",,"1,042,985",,"36,578",186,"160,913","1,516","4,795,578","708,067","6,772,770 ",Asia,66601,,,"5,401"
55,Croatia,"1,089,696",,"15,485 ",,"1,062,763",,"11,448",41,"268,290","3,813","4,643,518","1,143,262","4,061,639 ",Europe,42621,,,"2,819"
56,Cuba,"1,084,568",,"8,508 ",,"1,072,515",,"3,545",23,"95,855",752,"12,920,253","1,141,900","11,314,701 ",North America,"101,3301",,,313
57,Singapore,"1,053,139",,"1,226 ",,"1,009,408",,"42,505",24,"177,606",207,"23,477,384","3,959,333","5,929,631 ",Asia,"64,8370",,,"7,168"
58,Tunisia,"1,033,731",,"28,165 ",,N/A,N/A,N/A,63,"85,917","2,341","4,500,701","374,070","12,031,715 ",Africa,124273,,,-46.04
59,Lithuania,"1,009,756","+3,314","8,804 ",+13,"932,357","+4,408","68,595",66,"380,059","3,314","8,016,908","3,017,459","2,656,841 ",Europe,33020,"1,247",5,"25,818"
60,Nepal,"978,297",,"11,951 ",,"964,127",,"2,219",100,"32,567",398,"5,521,055","183,793","30,039,531 ",Asia,"312,5145",,,74
61,Belarus,"955,600",,"6,759 ",,"928,536",,"20,305",,"101,186",716,"12,775,372","1,352,755","9,443,966 ",Europe,"101,3971",,,"2,150"
62,Slovenia,"949,640",,"6,461 ",,"905,924",,"37,255",50,"456,683","3,107","2,605,303","1,252,893","2,079,430 ",Europe,23221,,,"17,916"
63,Bolivia,"900,845",+288,"21,487 ",+3,"825,786","+1,866","53,572",220,"75,401","1,798","2,682,016","224,486","11,947,363 ",South America,135564,24,0.3,"4,484"
64,UAE,"889,108",,"2,302 ",,"860,513",,"26,293",,"88,063",228,"146,055,747","14,466,262","10,096,302 ",Asia,"114,3860",,,"2,604"
65,Uruguay,"881,152",,"7,147 ",,"864,614",,"9,391",40,"252,156","2,045","5,938,278","1,699,332","3,494,477 ",South America,44891,,,"2,687"
66,Ecuador,"855,314",,"35,413 ",,N/A,N/A,N/A,759,"47,243","1,956","2,470,170","136,439","18,104,609 ",South America,215117,,,"20,769"
