#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"81,527,329",,"1,001,175 ",,"63,623,166",,"16,902,988","2,812","243,844","2,994","975,800,788","2,918,568","334,342,370 ",North America,43340,,,"50,556"
2,India,"43,014,687",,"516,703 ",,"42,475,588",,"22,396","8,944","30,651",368,"784,952,800","559,343","1,403,346,937 ",Asia,"332,7162",,,16
3,Brazil,"29,729,991",,"658,067 ",,"28,363,966",,"707,958","8,318","138,177","3,059","63,776,166","296,414","215,159,159 ",South America,73273,,,"3,290"
4,France,"24,487,676",,"141,319 ",,"22,817,001","+57,688","1,529,356","1,564","373,732","2,157","246,629,975","3,764,077","65,522,041 ",Europe,34640,,,"23,341"
5,UK,"20,515,998",,"164,123 ",,"18,730,567",,"1,621,308",316,"299,505","2,396","499,017,558","7,284,970","68,499,604 ",Europe,34170,,,"23,669"
6,Germany,"19,436,127",,"128,196 ",,"15,329,000","+207,900","3,978,931","2,494","230,710","1,522","104,701,826","1,242,827","84,244,917 ",Europe,46571,,,"47,231"
7,Russia,"17,690,008","+25,387","366,220 ",+418,"16,483,898","+66,476","839,890","2,300","121,129","2,508","273,400,000","1,872,062","146,042,136 ",Europe,83991,174,3,"5,751"
8,Turkey,"14,743,437",,"97,521 ",,"14,385,264",,"260,652",975,"171,634","1,135","151,560,324","1,764,373","85,900,384 ",Asia,68811,,,"3,034"
9,Italy,"14,070,450",,"158,254 ",,"12,685,306",,"1,226,890",466,"233,307","2,624","197,086,357","3,267,951","60,308,847 ",Europe,43810,,,"20,343"
10,Spain,"11,378,784",,"102,053 ",,"10,707,169",,"569,562",682,"243,209","2,181","471,036,328","10,067,904","46,785,939 ",Europe,44580,,,"12,174"
11,S. Korea,"10,822,836","+395,589","13,902 ",+470,N/A,N/A,N/A,"1,081","210,786",271,"15,804,065","307,801","51,345,107 ",Asia,"53,6933","7,705",9,"191,633"
12,Argentina,"9,019,660",,"127,752 ",,"8,823,724",,"68,184",659,"196,467","2,783","35,182,768","766,354","45,909,309 ",South America,53591,,,"1,485"
13,Vietnam,"8,479,751",,"42,075 ",,"4,661,270",,"3,776,406","3,764","85,788",426,"83,048,614","840,187","98,845,416 ",Asia,"122,3491",,,"38,205"
14,Netherlands,"7,626,640",,"21,836 ",,"6,096,706",,"1,508,098",173,"443,406","1,270","21,107,399","1,227,167","17,200,109 ",Europe,27881,,,"87,680"
15,Iran,"7,144,532",,"139,802 ",,"6,837,721",,"167,009","1,816","83,229","1,629","48,534,882","565,395","85,842,357 ",Asia,126142,,,"1,946"
16,Japan,"6,189,816","+36,605","27,356 ",+110,"5,728,024","+56,967","434,436",891,"49,200",217,"42,372,009","336,793","125,810,254 ",Asia,"204,5993",291,0.9,"3,453"
17,Colombia,"6,082,226",,"139,508 ",,"5,914,578",,"28,140",342,"117,381","2,692","33,742,049","651,191","51,815,941 ",South America,93712,,,543
18,Indonesia,"5,981,022",,"154,221 ",,"5,658,238",,"168,563","2,771","21,476",554,"90,875,762","326,305","278,499,633 ",Asia,"471,8063",,,605
19,Poland,"5,915,888",,"114,480 ",,"5,261,930",,"539,478",354,"156,607","3,031","35,211,575","932,133","37,775,286 ",Europe,63301,,,"14,281"
